provider,type,corridor_from,corridor_to,commission_amount,commission_currency,fx_margin_percent,total_cost_percent,speed_display,speed_hours_approx,affiliate_status,data_source
Remitly,MTO,CA,CN,0,CAD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,CN,4.99,CAD,1.3,3.16,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,CN,5,CAD,3.1,4.95,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Aspora,MTO,GB,IN,3,GBP,0,3,mismo día,12,Sin confirmar,Direct research Aug 2025 (get.aspora.com)
Aspora,MTO,US,IN,2.99,USD,0,1.5,mismo día,12,Sin confirmar,Direct research Aug 2025 (get.aspora.com)
Aspora,MTO,AE,IN,15,AED,0,2.04,mismo día,12,Sin confirmar,Direct research Aug 2025 (get.aspora.com)
Hubpay,MTO,AE,PK,12,AED,0.5,2.13,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (app rate finder)
Hubpay,MTO,AE,IN,12,AED,0.5,2.04,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (app rate finder)
e& money,MTO,AE,IN,0,AED,1.5,1.5,<1 h,0.5,Sin confirmar,Prensa (Gulf News) Jul 2025
e& money,MTO,AE,PK,0,AED,1.5,1.5,<1 h,0.5,Sin confirmar,Prensa (Gulf News) Jul 2025
Payit,MTO,AE,IN,0,AED,2,2,<1 h,0.5,Sin confirmar,Calculadora propia FAB Aug 2025
Payit,MTO,AE,PK,0,AED,2,2,<1 h,0.5,Sin confirmar,Calculadora propia FAB Aug 2025
Chipper Cash,MTO,UG,KE,0,UGX,1.5,1.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (chipper.com)
Chipper Cash,MTO,NG,KE,0,NGN,1.5,1.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (chipper.com)
Chipper Cash,MTO,ZA,NG,0,ZAR,2,2,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (chipper.com)
M-PESA (Safaricom),MTO,KE,TZ,0,KES,0,0,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (operador móvil)
M-PESA (Safaricom),MTO,KE,UG,0,KES,0,0,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (operador móvil)
Mukuru,MTO,ZA,ZW,25,ZAR,2.5,3.5,2 días,48,Sin confirmar,Direct research Aug 2025 (mukuru.com)
Mukuru,MTO,ZA,MW,25,ZAR,2,3,2 días,48,Sin confirmar,Direct research Aug 2025 (mukuru.com)
Mama Money,MTO,ZA,ZW,20,ZAR,2,3,siguiente día,24,Sin confirmar,Direct research Aug 2025 (mamamoney.co.za)
Sendwave,MTO,US,GH,0,USD,1.5,1.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (sendwave.com)
Sendwave,MTO,US,KE,0,USD,1.5,1.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (sendwave.com)
Sendwave,MTO,GB,GH,0,GBP,1.5,1.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (sendwave.com)
Strike,Crypto,US,NG,0,USD,0.2,0.2,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (strike.me)
Strike,Crypto,US,MX,0,USD,0.2,0.2,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (strike.me)
Strike,Crypto,US,SV,0,USD,0.2,0.2,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (strike.me)
Bitso,Crypto,US,MX,0,USD,0.5,0.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (bitso.com)
Bitso,Crypto,US,CO,0,USD,1,1,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (bitso.com)
Binance Pay,Crypto,US,AR,0,USD,0.5,0.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (binance.com)
Binance Pay,Crypto,ES,VE,0,EUR,0.8,0.8,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (binance.com)
Global66,MTO,CL,PE,0,CLP,0.5,0.5,mismo día,12,Sin confirmar,Direct research Aug 2025 (global66.com)
Global66,MTO,AR,CO,0,ARS,1,1,mismo día,12,Sin confirmar,Direct research Aug 2025 (global66.com)
Global66,MTO,MX,CO,0,MXN,0.8,0.8,mismo día,12,Sin confirmar,Direct research Aug 2025 (global66.com)
Wise,MTO,AR,ES,0,ARS,0.5,0.5,mismo día,12,Sí (activo),Direct research Aug 2025 (wise.com)
Wise,MTO,CL,ES,0,CLP,0.5,0.5,mismo día,12,Sí (activo),Direct research Aug 2025 (wise.com)
Western Union,MTO,AR,ES,500,ARS,3,3.5,2 días,48,Sin confirmar,Direct research Aug 2025 (westernunion.com)
Western Union,MTO,CL,ES,2000,CLP,2.5,3,2 días,48,Sin confirmar,Direct research Aug 2025 (westernunion.com)
Ria,MTO,AR,IT,500,ARS,2.5,3,2 días,48,Sin confirmar,Direct research Aug 2025 (riamoneytransfer.com)
Ria,MTO,BR,PT,10,BRL,1.5,2,2 días,48,Sin confirmar,Direct research Aug 2025 (riamoneytransfer.com)
Paysend,MTO,RU,GE,0,RUB,1,1,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (paysend.com)
Paysend,MTO,KZ,UZ,0,KZT,1.5,1.5,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (paysend.com)
Remitly,MTO,US,ET,0,USD,2,2,<1 h,0.5,Sí (activo),Direct research Aug 2025 (remitly.com)
WorldRemit,MTO,US,ET,0,USD,1.8,1.8,2 días,48,Sí (activo),Direct research Aug 2025 (worldremit.com)
Western Union,MTO,US,ET,1.99,USD,3,4,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (westernunion.com)
HelloCash,MTO,ET,KE,0,ETB,0,0,<1 h,0.5,Sin confirmar,Direct research Aug 2025 (hello.cash)
Wise,MTO,US,AR,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,AR,0,USD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,AR,1.99,USD,3,4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,US,AR,0,USD,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,KE,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,KE,0,GBP,1.1,1.1,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,GB,KE,0,GBP,0.9,0.9,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,KE,0.99,GBP,2.6,3.42,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,GH,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,CA,GH,0,CAD,1.6,1.6,2 días,48,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,GH,4.99,CAD,1.1,2.95,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,AU,PH,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AU,PH,0,AUD,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,AU,PH,2.99,AUD,1.5,2.53,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,PH,5,AUD,3.1,4.83,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,IL,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,IL,1.99,USD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,US,IL,0,USD,1.7,1.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,IL,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,IL,0.99,GBP,2.4,3.22,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,FR,SN,1.63,EUR,0,0.91,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,FR,SN,1.99,EUR,1.2,2.31,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,FR,SN,0.9,EUR,1.6,2.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DE,TR,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,DE,TR,0,EUR,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DE,TR,1.9,EUR,2,3.06,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,DE,TR,0,EUR,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,IT,PK,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,IT,PK,0,EUR,1.7,1.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,IT,PK,1.9,EUR,2.1,3.16,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,EC,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,ES,EC,0,EUR,1.6,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,EC,2.9,EUR,0,1.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ES,EC,1.9,EUR,1.8,2.86,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,CR,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,CR,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,CR,0,USD,1.4,1.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,CR,1.99,USD,2.6,3.6,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,DO,2.5,USD,0,1.25,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,DO,0,USD,1.3,1.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,DO,0,USD,1.1,1.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,DO,1.99,USD,2.4,3.4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,HN,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,HN,0,USD,1.4,1.4,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,HN,0,USD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,HN,1.99,USD,2.5,3.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,JM,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,CA,JM,0,CAD,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,JM,4.99,CAD,1.3,3.16,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CA,JM,5,CAD,3,4.85,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,JM,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,GB,JM,0,GBP,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,JM,0.99,GBP,2.4,3.22,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,BO,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,BO,0,USD,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,BO,1.99,USD,2.9,3.9,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,BO,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,BO,2.9,EUR,0,1.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,PY,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,US,PY,0,USD,1.7,1.7,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,PY,1.99,USD,2.8,3.8,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,PY,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,PY,2.9,EUR,0,1.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,US,TT,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,TT,0,USD,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,TT,1.99,USD,2.6,3.6,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,TT,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,TT,4.99,CAD,1.2,3.06,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,GY,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,US,GY,0,USD,1.6,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,GY,1.99,USD,2.7,3.7,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CA,GY,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,CA,GY,4.99,CAD,1.2,3.06,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,SR,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,SR,1.99,USD,2.9,3.9,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NL,SR,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,FJ,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,GB,FJ,0.99,GBP,3,3.82,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,AU,FJ,2.45,AUD,0,0.85,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AU,FJ,5,AUD,3.5,5.17,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NZ,FJ,3,NZD,0,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,TZ,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,TZ,0,USD,1.8,1.8,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,TZ,1.99,USD,3,4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,TZ,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,TZ,0,GBP,1.8,1.8,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,CA,TZ,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,RW,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,RW,0,USD,1.9,1.9,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,US,RW,1.99,USD,3.1,4.1,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,GB,RW,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,RW,0,GBP,1.9,1.9,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,MW,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,MW,0,USD,2,2,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,MW,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,MW,0,GBP,2,2,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,UG,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,UG,0,USD,1.6,1.6,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,UG,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,UG,0,GBP,1.6,1.6,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,CA,UG,2.74,CAD,0,1.02,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,US,ZM,3.21,USD,0,1.61,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,US,ZM,0,USD,2.1,2.1,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,GB,ZM,0,GBP,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,GB,ZM,0,GBP,2.1,2.1,2 días,48,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,AE,EG,7,AED,0.55,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AE,EG,7.88,AED,1.2,2.27,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
MoneyGram,MTO,AE,EG,10.5,AED,0.8,2.23,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,SA,PK,0,SAR,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SA,PK,0,SAR,1.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,SA,PK,10,SAR,0.9,2.15,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SA,PK,12,SAR,1.5,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,SA,BD,0,SAR,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SA,BD,0,SAR,2.3,2.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,SA,BD,10,SAR,1,2.25,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SA,BD,12,SAR,1.8,3.3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KW,EG,0,KWD,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,KW,EG,1,KWD,1.5,2.5,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KW,IN,0,KWD,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,KW,IN,0,KWD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,KW,IN,0.5,KWD,0.8,1.6,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,QA,IN,0,QAR,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,QA,IN,0,QAR,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,QA,IN,5,QAR,0.7,1.45,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,QA,PK,0,QAR,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,QA,PK,0,QAR,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,QA,PK,5,QAR,0.8,1.55,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,OM,IN,0,OMR,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,OM,IN,0,OMR,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,OM,IN,0.5,OMR,0.8,1.55,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,BH,IN,0,BHD,0.45,0.45,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,BH,IN,0,BHD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,BH,IN,0.5,BHD,0.75,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,AE,BD,7,AED,0.55,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,AE,BD,5,AED,2,2.68,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,AE,BD,10.5,AED,1,2.43,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AE,BD,7.88,AED,2.1,3.17,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,SE,PL,0,SEK,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SE,PL,0,SEK,1.5,1.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SE,PL,20,SEK,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,DK,PL,0,DKK,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,DK,PL,15,DKK,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,NO,PL,0,NOK,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,NO,PL,15,NOK,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CH,RS,0,CHF,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CH,RS,2,CHF,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,CH,AL,0,CHF,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,CH,AL,2,CHF,2,3,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,JP,PH,400,JPY,0,1.4,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,JP,PH,0,JPY,2.5,2.5,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,JP,PH,500,JPY,3,4.05,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,JP,CN,400,JPY,0,1.4,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,JP,CN,0,JPY,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,JP,CN,500,JPY,0.8,2.35,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,KR,PH,3000,KRW,0.5,1.7,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,KR,PH,0,KRW,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,KR,PH,3500,KRW,2.5,3.9,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,KR,CN,3000,KRW,0.5,1.7,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,KR,CN,0,KRW,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,KR,CN,3500,KRW,1.2,2.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,SG,IN,2.5,SGD,0.5,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SG,IN,0,SGD,2,2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,SG,IN,3,SGD,0.8,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,SG,PH,2.5,SGD,0.5,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,SG,PH,0,SGD,2.2,2.2,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,SG,PH,3.5,SGD,2.6,4,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,HK,PH,20,HKD,0.5,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,HK,PH,0,HKD,2.3,2.3,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,HK,PH,25,HKD,2.7,4.1,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,HK,IN,20,HKD,0.5,1.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Remitly,MTO,HK,IN,0,HKD,2.1,2.1,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
MoneyGram,MTO,HK,IN,25,HKD,0.9,1.8,<1 h,0.5,Sí (activo),World Bank RPW Q3 2025
Wise,MTO,AT,TR,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,AT,TR,1.9,EUR,2,3.06,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,BE,MA,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,BE,MA,1.99,EUR,1,2.11,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,BE,MA,0.9,EUR,2,2.9,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,PT,CV,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,PT,CV,1.9,EUR,2.5,3.56,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Ria,MTO,PT,CV,2.9,EUR,1,2.61,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,PT,AO,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,PT,AO,1.9,EUR,3,4.06,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,PT,MZ,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,PT,MZ,1.9,EUR,3.2,4.26,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,ES,SN,1.67,EUR,0,0.93,mismo día,12,Sí (activo),World Bank RPW Q3 2025
Ria,MTO,ES,SN,2.9,EUR,1.2,2.81,2 días,48,Sin confirmar,World Bank RPW Q3 2025
Western Union,MTO,ES,SN,1.9,EUR,1.9,2.96,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,IE,NG,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,IE,NG,0,EUR,1.3,1.3,2 días,48,Sí (activo),World Bank RPW Q3 2025
Western Union,MTO,IE,NG,1.9,EUR,2.2,3.26,<1 h,0.5,Sin confirmar,World Bank RPW Q3 2025
Wise,MTO,IE,KE,0,EUR,0.5,0.5,mismo día,12,Sí (activo),World Bank RPW Q3 2025
WorldRemit,MTO,IE,KE,0,EUR,1.2,1.2,2 días,48,Sí (activo),World Bank RPW Q3 2025
